date,year,month,hr,weekday,workingday,season,weathersit,cnt,registered,casual,temp,hum,windspeed,holiday
2011-01-01,2011,Jan,0,Saturday,0,Spring,Clear,16,13,3,9.84,81.0,0.0,Holiday
2011-01-01,2011,Jan,1,Saturday,0,Spring,Clear,40,32,8,9.02,80.0,0.0,Holiday
2011-01-01,2011,Jan,2,Saturday,0,Spring,Clear,32,27,5,9.02,80.0,0.0,Holiday
2011-01-01,2011,Jan,3,Saturday,0,Spring,Clear,13,10,3,9.84,75.0,0.0,Holiday
2011-01-01,2011,Jan,4,Saturday,0,Spring,Clear,1,1,0,9.84,75.0,0.0,Holiday
2011-01-01,2011,Jan,5,Saturday,0,Spring,Cloudy,1,1,0,9.84,75.0,6.0032,Holiday
2011-01-01,2011,Jan,6,Saturday,0,Spring,Clear,2,0,2,9.02,80.0,0.0,Holiday
2011-01-01,2011,Jan,7,Saturday,0,Spring,Clear,3,2,1,8.200000000000001,86.0,0.0,Holiday
2011-01-01,2011,Jan,8,Saturday,0,Spring,Clear,8,7,1,9.84,75.0,0.0,Holiday
2011-01-01,2011,Jan,9,Saturday,0,Spring,Clear,14,6,8,13.120000000000001,76.0,0.0,Holiday
2011-01-01,2011,Jan,10,Saturday,0,Spring,Clear,36,24,12,15.58,76.0,16.997899999999998,Holiday
2011-01-01,2011,Jan,11,Saturday,0,Spring,Clear,56,30,26,14.76,81.0,19.0012,Holiday
2011-01-01,2011,Jan,12,Saturday,0,Spring,Clear,84,55,29,17.22,77.0,19.0012,Holiday
2011-01-01,2011,Jan,13,Saturday,0,Spring,Cloudy,94,47,47,18.86,72.0,19.999499999999998,Holiday
2011-01-01,2011,Jan,14,Saturday,0,Spring,Cloudy,106,71,35,18.86,72.0,19.0012,Holiday
2011-01-01,2011,Jan,15,Saturday,0,Spring,Cloudy,110,70,40,18.04,77.0,19.999499999999998,Holiday
2011-01-01,2011,Jan,16,Saturday,0,Spring,Cloudy,93,52,41,17.22,82.0,19.999499999999998,Holiday
2011-01-01,2011,Jan,17,Saturday,0,Spring,Cloudy,67,52,15,18.04,82.0,19.0012,Holiday
2011-01-01,2011,Jan,18,Saturday,0,Spring,Light Snow/Rain,35,26,9,17.22,88.0,16.997899999999998,Holiday
